interface_id,data_element_id,implemented_flag
I-3001,DE-4001,Y
I-3001,DE-4005,Y
I-3001,DE-4006,Y
I-3001,DE-4007,Y
I-3001,DE-4011,Y
I-3002,DE-4001,Y
I-3002,DE-4002,Y
I-3002,DE-4003,Y
I-3002,DE-4009,Y
I-3002,DE-4010,Y
I-3003,DE-4008,Y
I-3003,DE-4009,Y
I-3003,DE-4010,Y
I-3003,DE-4014,Y
I-3004,DE-4001,Y
I-3004,DE-4002,Y
I-3004,DE-4003,Y
I-3004,DE-4008,Y
I-3005,DE-4001,Y
I-3005,DE-4002,Y
I-3005,DE-4005,Y
I-3005,DE-4006,Y
I-3005,DE-4011,Y
I-3006,DE-4012,Y
I-3006,DE-4013,Y
I-3007,DE-4012,Y
I-3008,DE-4008,Y
I-3008,DE-4009,Y
I-3008,DE-4010,Y
I-3009,DE-4001,Y
I-3009,DE-4003,Y
I-3009,DE-4008,Y
I-3009,DE-4009,Y
I-3009,DE-4010,Y
I-3010,DE-4001,Y
I-3010,DE-4005,Y
I-3010,DE-4009,Y
I-3011,DE-4001,Y
I-3011,DE-4009,Y
I-3011,DE-4010,Y
I-3012,DE-4001,Y
I-3012,DE-4002,Y
I-3012,DE-4014,Y
I-3012,DE-4015,Y
I-3012,DE-4016,Y
